Unnamed: 0,Participant ID,Question ID,Comment,Label,Sentiment,Label_encoded,Sentiment_encoded,topic_1stpred,topic_2ndpred,prob_topic_0rank,prob_topic_1rank,prob_topic_2rank,prob_topic_3rank,prob_topic_4rank,prob_topic_5rank,prob_topic_6rank,prob_topic_7rank,prob_topic_8rank,prob_topic_9rank,prob_topic_10rank,prob_topic_11rank,prob_topic_12rank,prob_topic_13rank,sentiment_pred,sentiment_2ndpred,prob_sentiment_1st,prob_sentiemnt_2nd
6314,93505,One Change,Not a thing!,No answer/Nothing,No answer/Nothing,10,1,10,7,0.998775064945221,0.0002381786616751924,0.0001324387703789398,0.00011566218745429067,0.00010857616871362552,9.273735486203803e-05,8.712491398910059e-05,8.310727571370079e-05,7.532996096415445e-05,6.640363426413387e-05,5.8509696827968576e-05,5.736444654758088e-05,5.72550779907033e-05,5.228295412962325e-05,1,0,0.9981070756912231,0.0012197019532322884
3072,88,Unique / Unusual,I do appreciate the Christian heritage of this facility,Inspiring Work/Place; Quality,Positive,7,2,7,3,0.9469529390335084,0.02246548980474472,0.005703465081751347,0.00550548592582345,0.004982563201338053,0.003967548720538615,0.0025083820801228285,0.001916449749842286,0.0014647507341578605,0.0012490727240219712,0.001218930701725185,0.0009652210283093154,0.000570461037568748,0.0005292725982144475,2,0,0.9877641797065735,0.008240903727710247
6221,92816,One Change,There is really nothing I would change.  ,No answer/Nothing,No answer/Nothing,10,1,10,7,0.9985685348510742,0.0003611548454500735,0.00023228618374560028,0.00013081845827400684,0.00010742284212028608,0.00010166507126996294,8.051109762163833e-05,7.624527643201873e-05,6.948060035938397e-05,6.710141315124929e-05,5.3263887821231044e-05,5.293730646371842e-05,5.1935734518338e-05,4.6659657527925453e-05,1,0,0.9944506883621216,0.00355785945430398
5604,74557,Unique / Unusual,nothing that stands out ,No answer/Nothing,Positive,10,2,10,7,0.9983491897583008,0.00035382091300562024,0.0002096673415508121,0.00014442393148783594,0.00013195638894103467,0.00012500553566496822,0.00012179750774521379,0.00011098708637291566,8.939606777857989e-05,8.333860751008615e-05,8.142981096170844e-05,6.782932905480266e-05,6.741954712197185e-05,6.385973392752929e-05,1,2,0.9854795336723328,0.0076190088875591755
4591,74370,One Change,"Managers being accessible, not Rude , not condescending , not irritated and put out when you have questions and not making you feel stupid when you have questions.PROFESSIONAL not talking behind employees backs with other employees.  
",Management Reliability/Integrity,Negative,9,0,9,3,0.96458899974823,0.022023504599928856,0.0064636683091521254,0.0017830096185207367,0.0011378973722457886,0.0009371284977532924,0.0007611378678120673,0.000503209768794477,0.0004641881969291717,0.0003262819955125451,0.0002964833693113178,0.00024393708736170083,0.0002389193105045706,0.0002316681784577668,0,2,0.7194114327430725,0.2796393036842346
233,74085,One Change,To give us permanent regular  2 days off every week instead of asking or requesting every time you wants to take off,Balancing Personal/Productivity (including time off),Negative,1,0,1,12,0.8852628469467163,0.053643591701984406,0.03549738973379135,0.0047968272119760505,0.003110281657427549,0.002959598321467638,0.002794735133647919,0.0026778867468237877,0.002079448429867625,0.002060798928141594,0.0016898484900593758,0.0012977118603885176,0.001230046385899186,0.000898942060302943,0,2,0.9962891340255737,0.003559080185368657
1554,93298,One Change,Hardwork,Co-Workers/Teamwork,Negative,3,0,3,7,0.8157722353935242,0.07080087065696716,0.04905582591891289,0.016715431585907936,0.008390668779611588,0.006975829135626554,0.005850367713719606,0.005154096055775882,0.004990064539015293,0.004898247309029102,0.004031842574477196,0.003317405004054308,0.0023319798056036234,0.0017151270294561982,2,0,0.6292936205863953,0.362502783536911
4468,57618,Unique / Unusual,The recent changes at Home Office are going to better the company as a whole.  Their ideas and strengths in looking at changing the way we do things are going to help the continued success of this company.,Management Reliability/Integrity,Positive,9,2,9,3,0.8808549642562866,0.05223679170012474,0.038729935884475715,0.014876311644911766,0.0028668493032455444,0.002223000396043062,0.0018710321746766567,0.0015846174210309982,0.0013086197432130575,0.0010512989247217774,0.0008816599729470909,0.0007786920759826899,0.00045222448534332216,0.0002840030356310308,2,0,0.697481632232666,0.2990729510784149
2597,75000,One Change,If i could change one thing about this company it would be the pay. I think that we need more money for the work that is done.,Incentives/Growth,Negative,6,0,6,7,0.9917239546775818,0.003131140256300569,0.0010501847136765716,0.0008120165439322591,0.0006035628612153232,0.0005074774380773307,0.0004335188423283398,0.000411009881645441,0.00032164534786716104,0.0002588135830592364,0.0002564275346230716,0.00020096576190553608,0.00016403142944909632,0.00012529821833595634,0,2,0.9982384443283081,0.0014438580255955458
3553,75271,One Change,"We are an ALF not a nursing home. Total care without lifts should not be allowed in our facility. Having to depend on 2 people to lift some people is very difficult when we're short staffed majority of the time. Double standards with residents shouldn't be allowed just because a staff member might know the family personally, everyone should be treated equally not matter the price paid to live here. Med Techs should be allowed especially when a nurse calls in so we have to people to give meds. Benefits should be more resembled to our location. United healthcare isn't excepted in most locations and PTO should be more than 0.0345 per hour worked and start collecting day of employment not 240 hours in to being employed. Benefits are a major impact to keeping employees. ",Inspiring Work/Place; Quality,Negative,7,0,7,2,0.5901280641555786,0.30763229727745056,0.03903668001294136,0.01642795093357563,0.01180798839777708,0.01119405962526798,0.006848624907433987,0.005560670513659716,0.0035227905027568345,0.0020957649685442448,0.002089551417157054,0.0017251791432499886,0.001046330202370882,0.0008840679074637592,0,2,0.9961317777633667,0.0037322216667234898
2253,56590,Unique / Unusual,PTO ACCUMLATES AT A VERY NICE RATE.  ,Incentives/Growth,Positive,6,2,2,6,0.659169614315033,0.1474737823009491,0.04663360118865967,0.04598483070731163,0.02466193959116936,0.02124346420168877,0.013994093984365463,0.009556526318192482,0.009390227496623993,0.005829513072967529,0.005576609168201685,0.004775775596499443,0.0029950623866170645,0.0027149843517690893,2,0,0.8628374338150024,0.10642588138580322
